Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Associated Gene Name	Transcript Start (bp)	Transcript End (bp)	Gene End (bp)
ENSGACG00000000002	ENSGACT00000000002	scaffold_154	1880	PDE1C (1 of 8)	1880	13338	13338
ENSGACG00000000003	ENSGACT00000000003	scaffold_154	47616	TRIM14 (1 of 77)	47616	48140	48140
ENSGACG00000000004	ENSGACT00000000004	scaffold_154	56205		56205	56936	56936
ENSGACG00000000005	ENSGACT00000000005	scaffold_154	171475		171475	172632	172632
ENSGACG00000000006	ENSGACT00000000006	scaffold_89	14792	FAM83C	14792	18656	18656
ENSGACG00000000007	ENSGACT00000000007	scaffold_89	26630		26630	27862	27862
ENSGACG00000000008	ENSGACT00000000008	scaffold_89	51244	TRIM35 (1 of 28)	51244	53623	53901
ENSGACG00000000008	ENSGACT00000000009	scaffold_89	51244	TRIM35 (1 of 28)	51740	53901	53901
ENSGACG00000000009	ENSGACT00000000010	scaffold_89	54931	eif6	54931	57891	58754
ENSGACG00000000009	ENSGACT00000000011	scaffold_89	54931	eif6	54935	58754	58754
ENSGACG00000000009	ENSGACT00000000012	scaffold_89	54931	eif6	54937	58218	58754
ENSGACG00000000010	ENSGACT00000000013	scaffold_89	59954	map1lc3a	59954	62169	62190
ENSGACG00000000010	ENSGACT00000000014	scaffold_89	59954	map1lc3a	60168	62190	62190
ENSGACG00000000011	ENSGACT00000000015	scaffold_89	63775	dynlrb1	63775	64469	64469
ENSGACG00000000012	ENSGACT00000000016	scaffold_89	85882	si:dkey-49n23.1	85882	92470	92470
ENSGACG00000000013	ENSGACT00000000017	scaffold_89	94199	smpd4	94199	104490	104885
ENSGACG00000000013	ENSGACT00000000018	scaffold_89	94199	smpd4	94205	104885	104885
ENSGACG00000000014	ENSGACT00000000019	scaffold_89	136300	dock3	136300	156407	156407
ENSGACG00000000014	ENSGACT00000000020	scaffold_89	136300	dock3	141218	153148	156407
ENSGACG00000000015	ENSGACT00000000021	scaffold_89	176509	cand2	176509	186453	186453
ENSGACG00000000016	ENSGACT00000000022	scaffold_89	188419	cox6c	188419	190525	190525
ENSGACG00000000017	ENSGACT00000000023	scaffold_89	192091	STK4	192091	200994	200994
ENSGACG00000000018	ENSGACT00000000024	scaffold_89	201962		201962	202886	202886
ENSGACG00000000019	ENSGACT00000000025	scaffold_89	204731	KCNS1	204731	208785	208806
ENSGACG00000000019	ENSGACT00000000026	scaffold_89	204731	KCNS1	204782	208806	208806
ENSGACG00000000020	ENSGACT00000000027	scaffold_89	216026		216026	218307	218346
ENSGACG00000000020	ENSGACT00000000028	scaffold_89	216026		217238	218346	218346
ENSGACG00000000021	ENSGACT00000000029	scaffold_89	221459		221459	222211	222211
ENSGACG00000000022	ENSGACT00000000030	scaffold_89	230109	matn4	230109	238032	238032
ENSGACG00000000022	ENSGACT00000000031	scaffold_89	230109	matn4	231476	237999	238032
ENSGACG00000000023	ENSGACT00000000032	scaffold_89	240752	rbpjl	240752	246187	246187
ENSGACG00000000024	ENSGACT00000000033	scaffold_89	263731	rbl1	263731	273624	273624
ENSGACG00000000025	ENSGACT00000000034	scaffold_89	275261	psmf1	275261	277377	277377
ENSGACG00000000026	ENSGACT00000000035	scaffold_1045	508		508	1702	2074
